epoch,eval/knn_probe_accuracy,eval/linear_probe_top1,eval/linear_probe_top5,rankme,step,train/embedding_viz_loss_epoch,train/embedding_viz_loss_step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/loss_epoch,train/loss_step
0,,,,,49,,,,2.3629398345947266,,5.4467363357543945
0,,,,,99,,,,2.36358642578125,,5.3640899658203125
0,,,,,149,,,,2.343991994857788,,5.286746978759766
0,,,,,199,,,,2.2884459495544434,,5.327387809753418
0,,,,,249,,,,2.3106470108032227,,5.171604156494141
0,,,,,299,,,,2.3185930252075195,,5.125123023986816
0,,,,,349,,,,2.3163933753967285,,5.011821746826172
0,0.23690000176429749,0.15860000252723694,0.6171000003814697,218.09507751464844,389,,,,,,
0,,,,,389,,,2.3230042457580566,,5.259039402008057,
1,,,,,399,,,,2.2575857639312744,,5.024515151977539
1,,,,,449,,,,2.2428085803985596,,4.966878890991211
1,,,,,499,,,,2.2117714881896973,,4.866710186004639
1,,,,,549,,,,2.1675684452056885,,4.946071624755859
1,,,,,599,,,,2.1634535789489746,,4.817229270935059
1,,,,,649,,,,2.1949753761291504,,4.792430877685547
1,,,,,699,,,,2.130134344100952,,4.8585205078125
1,,,,,749,,,,2.1628715991973877,,4.905646324157715
1,0.271699994802475,0.25949999690055847,0.8077999353408813,187.38070678710938,779,,,,,,
1,,,,,779,,,2.2077319622039795,,4.905110836029053,
2,,,,,799,,,,2.118143320083618,,4.8429107666015625
2,,,,,849,,,,2.134690523147583,,4.6693830490112305
2,,,,,899,,,,2.076533794403076,,4.86836051940918
2,,,,,949,,,,2.0157418251037598,,4.764216423034668
2,,,,,999,,,,2.0658276081085205,,4.780887126922607
2,,,,,1049,,,,2.0614612102508545,,4.688230514526367
2,,,,,1099,,,,2.090588092803955,,4.764888286590576
2,,,,,1149,,,,1.953687071800232,,4.71739387512207
2,0.3107999861240387,0.31269997358322144,0.847100019454956,185.85592651367188,1169,,,,,,
2,,,,,1169,,,2.063606023788452,,4.7391204833984375,
3,,,,,1199,,,,2.0093846321105957,,4.729609489440918
3,,,,,1249,,,,1.9099206924438477,,4.6626176834106445
3,,,,,1299,,,,2.033039093017578,,4.747096061706543
3,,,,,1349,,,,1.9058778285980225,,4.60507869720459
3,,,,,1399,,,,2.032543182373047,,4.65166711807251
3,,,,,1449,,,,2.0341575145721436,,4.6510910987854
3,,,,,1499,,,,2.007779598236084,,4.628222942352295
3,,,,,1549,,,,2.0039398670196533,,4.4610490798950195
3,0.33230000734329224,0.3343999981880188,0.8598999977111816,185.0995635986328,1559,,,,,,
3,,,,,1559,,,1.9765771627426147,,4.646969318389893,
4,,,,,1599,,,,1.9215728044509888,,4.515742301940918
4,,,,,1649,,,,1.8355977535247803,,4.6065168380737305
4,,,,,1699,,,,2.046942710876465,,4.719282150268555
4,,,,,1749,,,,1.9322080612182617,,4.6664581298828125
4,,,,,1799,,,,1.8840792179107666,,4.506361961364746
4,,,,,1849,,,,1.9776637554168701,,4.607223033905029
4,,,,,1899,,,,1.9007197618484497,,4.482240676879883
4,,,,,1949,,,,1.8689651489257812,,4.49044132232666
4,0.35429999232292175,0.3691999912261963,0.8770999908447266,185.7564239501953,1949,,,,,,
4,,,,,1949,,,1.9032098054885864,,4.5788068771362305,
5,,,,,1999,,,,1.8922169208526611,,4.523557662963867
5,,,,,2049,,,,1.8404591083526611,,4.507439613342285
5,,,,,2099,,,,1.8449939489364624,,4.520618915557861
5,,,,,2149,,,,1.9157594442367554,,4.461984157562256
5,,,,,2199,,,,1.8182153701782227,,4.501078128814697
5,,,,,2249,,,,1.872663974761963,,4.5529584884643555
5,,,,,2299,,,,1.8441828489303589,,4.473745346069336
5,0.36410000920295715,0.39399999380111694,0.8842999935150146,183.8536376953125,2339,,,,,,
5,,,,,2339,,,1.836410641670227,,4.524681091308594,
6,,,,,2349,,,,1.8596818447113037,,4.549493312835693
6,,,,,2399,,,,1.7448179721832275,,4.430741786956787
6,,,,,2449,,,,1.8302994966506958,,4.4462385177612305
6,,,,,2499,,,,1.758009910583496,,4.540319442749023
6,,,,,2549,,,,1.809317708015442,,4.44887638092041
6,,,,,2599,,,,1.6900558471679688,,4.3934526443481445
6,,,,,2649,,,,1.7691916227340698,,4.566208839416504
6,,,,,2699,,,,1.7635642290115356,,4.408729076385498
6,0.38700002431869507,0.423799991607666,0.901199996471405,182.55078125,2729,,,,,,
6,,,,,2729,,,1.766380786895752,,4.476110935211182,
7,,,,,2749,,,,1.8671607971191406,,4.391869068145752
7,,,,,2799,,,,1.706770420074463,,4.456235408782959
7,,,,,2849,,,,1.7527204751968384,,4.505692005157471
7,,,,,2899,,,,1.7522176504135132,,4.4370574951171875
7,,,,,2949,,,,1.7205016613006592,,4.466335296630859
7,,,,,2999,,,,1.5431362390518188,,4.406998634338379
7,,,,,3049,,,,1.7987502813339233,,4.49752140045166
7,,,,,3099,,,,1.61538827419281,,4.3467793464660645
7,0.3960000276565552,0.43699997663497925,0.9151000380516052,180.0131378173828,3119,,,,,,
7,,,,,3119,,,1.6817625761032104,,4.42786169052124,
8,,,,,3149,,,,1.7323246002197266,,4.462772846221924
8,,,,,3199,,,,1.6072161197662354,,4.428326606750488
8,,,,,3249,,,,1.5898826122283936,,4.370684623718262
8,,,,,3299,,,,1.64657461643219,,4.404269695281982
8,,,,,3349,,,,1.6962001323699951,,4.438968658447266
8,,,,,3399,,,,1.4775582551956177,,4.329835891723633
8,,,,,3449,,,,1.6083219051361084,,4.427243709564209
8,,,,,3499,,,,1.5781331062316895,,4.402912139892578
8,0.430899977684021,0.4807000160217285,0.9369999766349792,176.82211303710938,3509,,,,,,
8,,,,,3509,,,1.6098119020462036,,4.383137226104736,
9,,,,,3549,,,,1.6065717935562134,,4.381171226501465
