epoch,eval/knn_probe_accuracy,eval/linear_probe_top1,eval/linear_probe_top5,rankme,step,train/embedding_viz_loss_epoch,train/embedding_viz_loss_step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/loss_epoch,train/loss_step
0,,,,,49,,,,2.34415602684021,,5.478875160217285
0,,,,,99,,,,2.4318904876708984,,5.399381160736084
0,,,,,149,,,,2.4204061031341553,,5.322531700134277
0,,,,,199,,,,2.407201051712036,,5.320230484008789
0,,,,,249,,,,2.3276848793029785,,5.28641414642334
0,,,,,299,,,,2.2856438159942627,,5.219259262084961
0,,,,,349,,,,2.3114192485809326,,5.037282943725586
0,0.2232999950647354,0.1446000039577484,0.610200047492981,211.64187622070312,389,,,,,,
0,,,,,389,,,2.3708038330078125,,5.283868789672852,
1,,,,,399,,,,2.3003346920013428,,5.017547607421875
1,,,,,449,,,,2.302102565765381,,4.961711883544922
1,,,,,499,,,,2.2466886043548584,,4.900251865386963
1,,,,,549,,,,2.185901403427124,,4.950706481933594
1,,,,,599,,,,2.2197265625,,4.818548202514648
1,,,,,649,,,,2.2038164138793945,,4.836996078491211
1,,,,,699,,,,2.16232967376709,,4.841403961181641
1,,,,,749,,,,2.1823570728302,,4.924984931945801
1,0.2736000120639801,0.23120000958442688,0.8047000169754028,181.21646118164062,779,,,,,,
1,,,,,779,,,2.2257862091064453,,4.924594879150391,
2,,,,,799,,,,2.134258508682251,,4.916233062744141
2,,,,,849,,,,2.146304130554199,,4.7124433517456055
2,,,,,899,,,,2.093428611755371,,4.847664833068848
2,,,,,949,,,,2.0403640270233154,,4.757809638977051
2,,,,,999,,,,2.098757266998291,,4.778694152832031
2,,,,,1049,,,,2.0563700199127197,,4.694073677062988
2,,,,,1099,,,,2.0900890827178955,,4.721081733703613
2,,,,,1149,,,,1.9487824440002441,,4.6983561515808105
2,0.29019999504089355,0.3056999742984772,0.8560000658035278,181.2537078857422,1169,,,,,,
2,,,,,1169,,,2.077552318572998,,4.748228549957275,
3,,,,,1199,,,,2.018641471862793,,4.726185321807861
3,,,,,1249,,,,1.9436284303665161,,4.68304967880249
3,,,,,1299,,,,2.014214277267456,,4.725758075714111
3,,,,,1349,,,,1.9087671041488647,,4.616427421569824
3,,,,,1399,,,,2.0777029991149902,,4.6918487548828125
3,,,,,1449,,,,2.0385074615478516,,4.627175807952881
3,,,,,1499,,,,2.0187976360321045,,4.654441833496094
3,,,,,1549,,,,1.9846622943878174,,4.486063003540039
3,0.3034999966621399,0.3208000063896179,0.8690000176429749,179.500732421875,1559,,,,,,
3,,,,,1559,,,1.9797134399414062,,4.653894901275635,
4,,,,,1599,,,,1.9332828521728516,,4.577211380004883
4,,,,,1649,,,,1.8429884910583496,,4.618979454040527
4,,,,,1699,,,,2.0617964267730713,,4.716593265533447
