epoch,eval/knn_probe_accuracy,eval/linear_probe_top1,eval/linear_probe_top5,rankme,step,train/embedding_viz_loss_epoch,train/embedding_viz_loss_step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/loss_epoch,train/loss_step
0,,,,,49,,,,2.443006992340088,,5.451231479644775
0,,,,,99,,,,2.5088489055633545,,5.3855509757995605
0,,,,,149,,,,2.4806268215179443,,5.314178466796875
0,,,,,199,,,,2.348369598388672,,5.315169334411621
0,,,,,249,,,,2.3389766216278076,,5.223016738891602
0,,,,,299,,,,2.3094890117645264,,5.188503265380859
0,,,,,349,,,,2.2931301593780518,,5.040243625640869
0,0.24050000309944153,0.1467999964952469,0.5716999769210815,219.8636932373047,389,,,,,,
0,,,,,389,,,2.387864351272583,,5.270537853240967,
1,,,,,399,,,,2.239365339279175,,5.001977920532227
1,,,,,449,,,,2.2806572914123535,,4.942115783691406
1,,,,,499,,,,2.245696783065796,,4.833972930908203
1,,,,,549,,,,2.202420711517334,,4.939073085784912
1,,,,,599,,,,2.2068450450897217,,4.812371253967285
1,,,,,649,,,,2.2134933471679688,,4.785866737365723
1,,,,,699,,,,2.1647849082946777,,4.822012901306152
1,,,,,749,,,,2.1684134006500244,,4.86885929107666
1,0.2775000035762787,0.23410001397132874,0.7824000120162964,190.03660583496094,779,,,,,,
1,,,,,779,,,2.2222177982330322,,4.902546405792236,
2,,,,,799,,,,2.140228033065796,,4.845747947692871
2,,,,,849,,,,2.133396625518799,,4.679415225982666
2,,,,,899,,,,2.082240343093872,,4.878660202026367
2,,,,,949,,,,2.001293420791626,,4.749114036560059
2,,,,,999,,,,2.095602512359619,,4.793962478637695
2,,,,,1049,,,,2.0827527046203613,,4.712371826171875
2,,,,,1099,,,,2.0965335369110107,,4.773588180541992
2,,,,,1149,,,,1.9756361246109009,,4.694965362548828
2,0.303600013256073,0.2890999913215637,0.8394999504089355,186.93930053710938,1169,,,,,,
2,,,,,1169,,,2.0794906616210938,,4.740506172180176,
3,,,,,1199,,,,1.999396800994873,,4.741490364074707
3,,,,,1249,,,,1.9302607774734497,,4.686531066894531
3,,,,,1299,,,,1.9943368434906006,,4.7618408203125
3,,,,,1349,,,,1.9312453269958496,,4.657905578613281
3,,,,,1399,,,,2.038196325302124,,4.704116344451904
3,,,,,1449,,,,2.011612892150879,,4.675276279449463
3,,,,,1499,,,,1.980515956878662,,4.5856781005859375
3,,,,,1549,,,,1.978926658630371,,4.472255706787109
3,0.31679999828338623,0.31859999895095825,0.8499999642372131,187.40367126464844,1559,,,,,,
3,,,,,1559,,,1.9802265167236328,,4.654078006744385,
4,,,,,1599,,,,1.940927267074585,,4.545788764953613
4,,,,,1649,,,,1.8284434080123901,,4.576459884643555
4,,,,,1699,,,,2.052563190460205,,4.7141571044921875
4,,,,,1749,,,,1.9679343700408936,,4.677978992462158
4,,,,,1799,,,,1.8928828239440918,,4.546905517578125
4,,,,,1849,,,,2.0088601112365723,,4.6227827072143555
4,,,,,1899,,,,1.8923500776290894,,4.494673728942871
4,,,,,1949,,,,1.8917338848114014,,4.546926975250244
4,0.36149999499320984,0.3668000102043152,0.8809000253677368,187.0105438232422,1949,,,,,,
4,,,,,1949,,,1.9030117988586426,,4.589292049407959,
5,,,,,1999,,,,1.9060786962509155,,4.570136070251465
5,,,,,2049,,,,1.832947015762329,,4.532998085021973
