epoch,eval/knn_probe_accuracy,eval/linear_probe_top1,eval/linear_probe_top5,rankme,step,train/embedding_viz_loss_epoch,train/embedding_viz_loss_step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/loss_epoch,train/loss_step
0,,,,,49,,,,2.336604356765747,,5.476729393005371
0,,,,,99,,,,2.3440754413604736,,5.401288986206055
0,,,,,149,,,,2.329937219619751,,5.33573055267334
0,,,,,199,,,,2.327667713165283,,5.338171005249023
0,,,,,249,,,,2.3096201419830322,,5.2441253662109375
0,,,,,299,,,,2.2950122356414795,,5.220815181732178
0,,,,,349,,,,2.29659366607666,,5.067447662353516
0,0.2574999928474426,0.1509000062942505,0.629599928855896,236.2576446533203,389,,,,,,
0,,,,,389,,,2.324716329574585,,5.280745029449463,
1,,,,,399,,,,2.2540502548217773,,5.039008140563965
1,,,,,449,,,,2.27689266204834,,5.024973392486572
1,,,,,499,,,,2.2650794982910156,,4.883020401000977
1,,,,,549,,,,2.208768367767334,,4.960239410400391
1,,,,,599,,,,2.2339673042297363,,4.845726490020752
1,,,,,649,,,,2.2294270992279053,,4.799765586853027
1,,,,,699,,,,2.157944917678833,,4.8329997062683105
1,,,,,749,,,,2.165107250213623,,4.8978776931762695
1,0.30489999055862427,0.23829999566078186,0.8184000253677368,211.53109741210938,779,,,,,,
1,,,,,779,,,2.2160637378692627,,4.9129157066345215,
2,,,,,799,,,,2.12573504447937,,4.845355987548828
2,,,,,849,,,,2.168076753616333,,4.735725402832031
2,,,,,899,,,,2.0827901363372803,,4.844719409942627
2,,,,,949,,,,2.0478436946868896,,4.825221061706543
2,,,,,999,,,,2.0748982429504395,,4.793351173400879
2,,,,,1049,,,,2.079287052154541,,4.711835861206055
2,,,,,1099,,,,2.1026439666748047,,4.784618377685547
2,,,,,1149,,,,1.94729745388031,,4.723419189453125
2,0.32170000672340393,0.296099990606308,0.8473000526428223,201.88116455078125,1169,,,,,,
2,,,,,1169,,,2.06902813911438,,4.741170406341553,
3,,,,,1199,,,,2.0290236473083496,,4.707413673400879
3,,,,,1249,,,,1.8902769088745117,,4.674625396728516
3,,,,,1299,,,,2.0498673915863037,,4.729454040527344
3,,,,,1349,,,,1.9314368963241577,,4.626177787780762
3,,,,,1399,,,,2.039980173110962,,4.680116176605225
3,,,,,1449,,,,2.042658805847168,,4.635150909423828
3,,,,,1499,,,,1.9974970817565918,,4.5972700119018555
3,,,,,1549,,,,1.9787471294403076,,4.5067138671875
3,0.34769999980926514,0.343999981880188,0.8621000051498413,197.8956298828125,1559,,,,,,
3,,,,,1559,,,1.9788434505462646,,4.643444061279297,
4,,,,,1599,,,,1.9108988046646118,,4.553543567657471
4,,,,,1649,,,,1.8442535400390625,,4.600937843322754
4,,,,,1699,,,,2.0170252323150635,,4.711878776550293
4,,,,,1749,,,,1.9749597311019897,,4.608238220214844
4,,,,,1799,,,,1.868884801864624,,4.495785713195801
4,,,,,1849,,,,1.9792742729187012,,4.594213008880615
4,,,,,1899,,,,1.903116226196289,,4.490336894989014
4,,,,,1949,,,,1.877313494682312,,4.489209175109863
4,0.370199978351593,0.3813999891281128,0.8819999694824219,195.23599243164062,1949,,,,,,
4,,,,,1949,,,1.8974409103393555,,4.571861743927002,
5,,,,,1999,,,,1.8590384721755981,,4.498342514038086
5,,,,,2049,,,,1.8174704313278198,,4.48323917388916
5,,,,,2099,,,,1.808672308921814,,4.520519256591797
5,,,,,2149,,,,1.9268348217010498,,4.449244976043701
5,,,,,2199,,,,1.7843425273895264,,4.47118616104126
5,,,,,2249,,,,1.8732521533966064,,4.515471458435059
5,,,,,2299,,,,1.8284149169921875,,4.482702732086182
5,0.392300009727478,0.396699994802475,0.8941000699996948,190.70535278320312,2339,,,,,,
5,,,,,2339,,,1.8279825448989868,,4.514139652252197,
6,,,,,2349,,,,1.8287230730056763,,4.496964931488037
6,,,,,2399,,,,1.7367892265319824,,4.4257378578186035
6,,,,,2449,,,,1.806681513786316,,4.391583442687988
6,,,,,2499,,,,1.7559877634048462,,4.491769790649414
6,,,,,2549,,,,1.7640844583511353,,4.422787666320801
6,,,,,2599,,,,1.671816110610962,,4.38499641418457
6,,,,,2649,,,,1.7927502393722534,,4.528980731964111
6,,,,,2699,,,,1.7740375995635986,,4.363344669342041
6,0.3847000002861023,0.39419999718666077,0.8500000238418579,189.98251342773438,2729,,,,,,
6,,,,,2729,,,1.7491670846939087,,4.459808826446533,
7,,,,,2749,,,,1.8525148630142212,,4.397672176361084
7,,,,,2799,,,,1.681994915008545,,4.451357364654541
7,,,,,2849,,,,1.689360499382019,,4.464324474334717
7,,,,,2899,,,,1.6930688619613647,,4.400908470153809
7,,,,,2949,,,,1.7461612224578857,,4.451566696166992
7,,,,,2999,,,,1.5176702737808228,,4.406874179840088
7,,,,,3049,,,,1.8376593589782715,,4.462790489196777
7,,,,,3099,,,,1.6278156042099,,4.373294353485107
7,0.3874000012874603,0.4204000234603882,0.8907000422477722,185.97525024414062,3119,,,,,,
7,,,,,3119,,,1.6560038328170776,,4.409386157989502,
8,,,,,3149,,,,1.7042531967163086,,4.439274787902832
8,,,,,3199,,,,1.5947822332382202,,4.388484001159668
8,,,,,3249,,,,1.5748711824417114,,4.3636064529418945
8,,,,,3299,,,,1.6414659023284912,,4.385498046875
8,,,,,3349,,,,1.6896568536758423,,4.427146911621094
8,,,,,3399,,,,1.4821399450302124,,4.324400424957275
8,,,,,3449,,,,1.5979413986206055,,4.429667949676514
8,,,,,3499,,,,1.5336732864379883,,4.340620040893555
8,0.4375,0.4740999937057495,0.9287999868392944,183.69003295898438,3509,,,,,,
8,,,,,3509,,,1.5959118604660034,,4.370105266571045,
9,,,,,3549,,,,1.5894683599472046,,4.362670421600342
9,,,,,3599,,,,1.4885529279708862,,4.406905174255371
9,,,,,3649,,,,1.7435487508773804,,4.440350532531738
9,,,,,3699,,,,1.5845645666122437,,4.334725379943848
9,,,,,3749,,,,1.5515996217727661,,4.31058406829834
9,,,,,3799,,,,1.490702748298645,,4.298098564147949
9,,,,,3849,,,,1.5104866027832031,,4.333697319030762
9,,,,,3899,,,,1.5725719928741455,,4.288577079772949
9,0.4194999933242798,0.4659999907016754,0.9235000014305115,180.96871948242188,3899,,,,,,
9,,,,,3899,,,1.5436853170394897,,4.337843418121338,
10,,,,,3949,,,,1.5306415557861328,,4.306075096130371
10,,,,,3999,,,,1.4647116661071777,,4.277534008026123
10,,,,,4049,,,,1.6222959756851196,,4.285886764526367
10,,,,,4099,,,,1.4463433027267456,,4.354408264160156
10,,,,,4149,,,,1.322350263595581,,4.318205833435059
10,,,,,4199,,,,1.488505482673645,,4.429178714752197
10,,,,,4249,,,,1.3326205015182495,,4.231606483459473
10,0.4962000250816345,0.5160999894142151,0.9385000467300415,180.16075134277344,4289,,,,,,
10,,,,,4289,,,1.4877818822860718,,4.308727264404297,
11,,,,,4299,,,,1.5324561595916748,,4.329324722290039
11,,,,,4349,,,,1.4422597885131836,,4.288819789886475
11,,,,,4399,,,,1.2797807455062866,,4.18349552154541
11,,,,,4449,,,,1.463010311126709,,4.264653205871582
11,,,,,4499,,,,1.4400136470794678,,4.248378753662109
11,,,,,4549,,,,1.3867161273956299,,4.297072410583496
11,,,,,4599,,,,1.386186957359314,,4.319127559661865
11,,,,,4649,,,,1.3919527530670166,,4.349239349365234
11,0.4652999937534332,0.49069997668266296,0.9144999384880066,179.5181121826172,4679,,,,,,
11,,,,,4679,,,1.435824990272522,,4.279308795928955,
12,,,,,4699,,,,1.4177477359771729,,4.207632541656494
12,,,,,4749,,,,1.4755151271820068,,4.229572296142578
12,,,,,4799,,,,1.402660846710205,,4.291842937469482
12,,,,,4849,,,,1.5010541677474976,,4.308982849121094
12,,,,,4899,,,,1.4355945587158203,,4.3477783203125
12,,,,,4949,,,,1.3663218021392822,,4.234057426452637
12,,,,,4999,,,,1.5483379364013672,,4.300969123840332
12,,,,,5049,,,,1.2752004861831665,,4.275469779968262
12,0.5033999681472778,0.5318999886512756,0.9419999718666077,179.48019409179688,5069,,,,,,
12,,,,,5069,,,1.3873474597930908,,4.259306907653809,
13,,,,,5099,,,,1.2132505178451538,,4.208998203277588
13,,,,,5149,,,,1.5061664581298828,,4.217916488647461
13,,,,,5199,,,,1.3012572526931763,,4.237514495849609
