epoch,eval/knn_probe_accuracy,eval/linear_probe_top1,eval/linear_probe_top5,rankme,step,train/embedding_viz_loss_epoch,train/embedding_viz_loss_step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/loss_epoch,train/loss_step
0,,,,,49,,,,2.3250157833099365,,5.470850944519043
0,,,,,99,,,,2.4516408443450928,,5.380117416381836
0,,,,,149,,,,2.401162624359131,,5.284038543701172
0,,,,,199,,,,2.3616461753845215,,5.310385227203369
0,,,,,249,,,,2.3221545219421387,,5.215581893920898
0,,,,,299,,,,2.316657781600952,,5.223129749298096
0,,,,,349,,,,2.3092379570007324,,5.075329303741455
0,0.23340001702308655,0.13109999895095825,0.5715999603271484,216.6193084716797,389,,,,,,
0,,,,,389,,,2.349808931350708,,5.27421236038208,
1,,,,,399,,,,2.2940661907196045,,5.020947456359863
1,,,,,449,,,,2.280853509902954,,4.976081848144531
1,,,,,499,,,,2.2574238777160645,,4.882946014404297
1,,,,,549,,,,2.229135036468506,,4.921594619750977
1,,,,,599,,,,2.2401528358459473,,4.849194049835205
1,,,,,649,,,,2.228602409362793,,4.824277877807617
1,,,,,699,,,,2.185682535171509,,4.8365559577941895
1,,,,,749,,,,2.205538272857666,,4.885445594787598
1,0.29109999537467957,0.24790000915527344,0.7944000363349915,190.11764526367188,779,,,,,,
1,,,,,779,,,2.241946220397949,,4.909726142883301,
2,,,,,799,,,,2.1693012714385986,,4.862185955047607
2,,,,,849,,,,2.1582283973693848,,4.68446159362793
2,,,,,899,,,,2.0685629844665527,,4.801594257354736
2,,,,,949,,,,2.0467069149017334,,4.765688896179199
2,,,,,999,,,,2.0738298892974854,,4.772571563720703
2,,,,,1049,,,,2.053696632385254,,4.705996513366699
2,,,,,1099,,,,2.093555212020874,,4.733820915222168
2,,,,,1149,,,,1.9552557468414307,,4.694003105163574
2,0.3034000098705292,0.30219998955726624,0.854699969291687,186.06333923339844,1169,,,,,,
2,,,,,1169,,,2.0774409770965576,,4.739907741546631,
