epoch,eval/knn_probe_accuracy,eval/linear_probe_top1,eval/linear_probe_top5,rankme,step,train/embedding_viz_loss_epoch,train/embedding_viz_loss_step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/loss_epoch,train/loss_step
0,,,,,49,,,,2.416308879852295,,5.463705539703369
0,,,,,99,,,,2.2621095180511475,,5.390883445739746
0,,,,,149,,,,2.3715169429779053,,5.328454971313477
0,,,,,199,,,,2.317561626434326,,5.352660179138184
0,,,,,249,,,,2.3418381214141846,,5.21926212310791
0,,,,,299,,,,2.302971124649048,,5.182252883911133
0,,,,,349,,,,2.3205389976501465,,5.052298545837402
0,0.2443000078201294,0.15879999101161957,0.6367999911308289,221.05389404296875,389,,,,,,
0,,,,,389,,,2.3493525981903076,,5.269272804260254,
1,,,,,399,,,,2.2610182762145996,,4.987967491149902
1,,,,,449,,,,2.2754955291748047,,4.981785774230957
1,,,,,499,,,,2.2381763458251953,,4.861115455627441
1,,,,,549,,,,2.2103312015533447,,4.906529426574707
1,,,,,599,,,,2.233452558517456,,4.814769744873047
1,,,,,649,,,,2.205930471420288,,4.810583114624023
1,,,,,699,,,,2.197127342224121,,4.841222286224365
1,,,,,749,,,,2.1810929775238037,,4.885900497436523
1,0.2890999913215637,0.24560000002384186,0.8077000379562378,191.387939453125,779,,,,,,
1,,,,,779,,,2.2186527252197266,,4.905152797698975,
2,,,,,799,,,,2.132355213165283,,4.870185375213623
2,,,,,849,,,,2.143202781677246,,4.703819751739502
2,,,,,899,,,,2.0783276557922363,,4.8520708084106445
2,,,,,949,,,,2.0383384227752686,,4.738365173339844
2,,,,,999,,,,2.090280055999756,,4.7970733642578125
2,,,,,1049,,,,2.034607410430908,,4.711597442626953
2,,,,,1099,,,,2.0697062015533447,,4.7243242263793945
2,,,,,1149,,,,1.9424052238464355,,4.69677209854126
2,0.3109999895095825,0.3142000138759613,0.8521999716758728,188.84844970703125,1169,,,,,,
2,,,,,1169,,,2.0759048461914062,,4.734188556671143,
3,,,,,1199,,,,2.0306146144866943,,4.735867023468018
3,,,,,1249,,,,1.9323519468307495,,4.670703887939453
3,,,,,1299,,,,2.0274834632873535,,4.755856037139893
3,,,,,1349,,,,1.8979629278182983,,4.645406246185303
3,,,,,1399,,,,2.025932550430298,,4.656386852264404
3,,,,,1449,,,,2.00276780128479,,4.636301517486572
3,,,,,1499,,,,2.015805959701538,,4.619378089904785
3,,,,,1549,,,,1.9740363359451294,,4.479423522949219
3,0.328900009393692,0.3303000032901764,0.871399998664856,186.45989990234375,1559,,,,,,
3,,,,,1559,,,1.9777326583862305,,4.643222808837891,
4,,,,,1599,,,,1.9311113357543945,,4.534820556640625
4,,,,,1649,,,,1.8553255796432495,,4.589799404144287
4,,,,,1699,,,,2.0319149494171143,,4.7104597091674805
4,,,,,1749,,,,1.9692432880401611,,4.673943996429443
4,,,,,1799,,,,1.8664103746414185,,4.500754356384277
4,,,,,1849,,,,1.9833730459213257,,4.617356300354004
4,,,,,1899,,,,1.8853733539581299,,4.462656021118164
4,,,,,1949,,,,1.8613563776016235,,4.506443500518799
4,0.3569999933242798,0.38349997997283936,0.8858000040054321,187.21546936035156,1949,,,,,,
4,,,,,1949,,,1.901397705078125,,4.573493003845215,
5,,,,,1999,,,,1.8789101839065552,,4.527488708496094
5,,,,,2049,,,,1.836869478225708,,4.510989189147949
5,,,,,2099,,,,1.8384028673171997,,4.549247741699219
5,,,,,2149,,,,1.9298397302627563,,4.480250358581543
5,,,,,2199,,,,1.8112386465072632,,4.489575386047363
5,,,,,2249,,,,1.851142168045044,,4.558277130126953
5,,,,,2299,,,,1.810646414756775,,4.484945297241211
5,0.3637999892234802,0.4077000021934509,0.9013999700546265,185.70620727539062,2339,,,,,,
5,,,,,2339,,,1.833417534828186,,4.519091606140137,
6,,,,,2349,,,,1.8607364892959595,,4.504457950592041
6,,,,,2399,,,,1.752034068107605,,4.416882514953613
6,,,,,2449,,,,1.8201133012771606,,4.439842224121094
6,,,,,2499,,,,1.7835814952850342,,4.531824111938477
6,,,,,2549,,,,1.8121594190597534,,4.4150495529174805
6,,,,,2599,,,,1.6815171241760254,,4.404451847076416
6,,,,,2649,,,,1.7549314498901367,,4.5616607666015625
6,,,,,2699,,,,1.7580280303955078,,4.382646560668945
6,0.3969999849796295,0.4279000163078308,0.9021999835968018,183.1048126220703,2729,,,,,,
6,,,,,2729,,,1.7631865739822388,,4.466669082641602,
7,,,,,2749,,,,1.8505805730819702,,4.388010025024414
7,,,,,2799,,,,1.702560544013977,,4.445679664611816
7,,,,,2849,,,,1.8066009283065796,,4.533208847045898
7,,,,,2899,,,,1.7380695343017578,,4.38815450668335
7,,,,,2949,,,,1.7266948223114014,,4.440041542053223
7,,,,,2999,,,,1.5251964330673218,,4.3956451416015625
7,,,,,3049,,,,1.7950700521469116,,4.466811180114746
7,,,,,3099,,,,1.5921874046325684,,4.352043151855469
7,0.40829998254776,0.47029998898506165,0.9192000031471252,179.4207305908203,3119,,,,,,
7,,,,,3119,,,1.673438549041748,,4.420775413513184,
8,,,,,3149,,,,1.7112287282943726,,4.435444355010986
8,,,,,3199,,,,1.6131948232650757,,4.401609897613525
8,,,,,3249,,,,1.5670361518859863,,4.37843656539917
8,,,,,3299,,,,1.6706262826919556,,4.407205581665039
8,,,,,3349,,,,1.625006914138794,,4.421060562133789
8,,,,,3399,,,,1.5190796852111816,,4.3574934005737305
8,,,,,3449,,,,1.6081441640853882,,4.430066108703613
8,,,,,3499,,,,1.5439919233322144,,4.3479485511779785
8,0.4332999587059021,0.4934000074863434,0.9236999750137329,177.1420440673828,3509,,,,,,
