epoch,eval/knn_probe_accuracy,eval/linear_probe_top1,eval/linear_probe_top5,rankme,step,train/embedding_viz_loss_epoch,train/embedding_viz_loss_step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/loss_epoch,train/loss_step
0,,,,,49,,,,2.366436719894409,,5.490004539489746
0,,,,,99,,,,2.38883900642395,,5.403310775756836
0,,,,,149,,,,2.368438243865967,,5.3385443687438965
0,,,,,199,,,,2.314889669418335,,5.327463150024414
0,,,,,249,,,,2.316317081451416,,5.243680477142334
0,,,,,299,,,,2.335820436477661,,5.18398380279541
0,,,,,349,,,,2.3053793907165527,,5.041769981384277
0,0.2328999936580658,0.14110000431537628,0.5826999545097351,209.5916290283203,389,,,,,,
0,,,,,389,,,2.3429551124572754,,5.283211708068848,
1,,,,,399,,,,2.2899739742279053,,5.025972843170166
1,,,,,449,,,,2.266826629638672,,4.969837665557861
1,,,,,499,,,,2.248095750808716,,4.863544940948486
1,,,,,549,,,,2.243600368499756,,4.920031547546387
1,,,,,599,,,,2.2232117652893066,,4.782806396484375
1,,,,,649,,,,2.2009222507476807,,4.755352973937988
1,,,,,699,,,,2.217388153076172,,4.8311567306518555
1,,,,,749,,,,2.1801440715789795,,4.877251625061035
1,0.26919999718666077,0.2355000078678131,0.7839999794960022,182.06362915039062,779,,,,,,
1,,,,,779,,,2.2414982318878174,,4.898331642150879,
2,,,,,799,,,,2.171269655227661,,4.854301452636719
2,,,,,849,,,,2.1221766471862793,,4.735983848571777
2,,,,,899,,,,2.077162981033325,,4.858124256134033
2,,,,,949,,,,2.0484461784362793,,4.782827377319336
2,,,,,999,,,,2.069211483001709,,4.803499221801758
2,,,,,1049,,,,2.0913543701171875,,4.688723564147949
2,,,,,1099,,,,2.1032564640045166,,4.732816696166992
2,,,,,1149,,,,1.9758776426315308,,4.704519271850586
2,0.3041999936103821,0.30390000343322754,0.8518000245094299,182.41799926757812,1169,,,,,,
2,,,,,1169,,,2.083958148956299,,4.739863872528076,
3,,,,,1199,,,,2.0173158645629883,,4.723545074462891
3,,,,,1249,,,,1.9173003435134888,,4.719793319702148
3,,,,,1299,,,,2.0271828174591064,,4.755365371704102
3,,,,,1349,,,,1.9099146127700806,,4.612236022949219
3,,,,,1399,,,,2.040790557861328,,4.689003944396973
3,,,,,1449,,,,2.0580015182495117,,4.657632827758789
3,,,,,1499,,,,1.9990800619125366,,4.59552526473999
3,,,,,1549,,,,1.956285834312439,,4.462267875671387
3,0.2994999885559082,0.33980000019073486,0.8590999841690063,180.78665161132812,1559,,,,,,
3,,,,,1559,,,1.977394461631775,,4.644811630249023,
4,,,,,1599,,,,1.9080449342727661,,4.505919456481934
4,,,,,1649,,,,1.8231931924819946,,4.621150493621826
4,,,,,1699,,,,2.020491123199463,,4.716848373413086
4,,,,,1749,,,,1.9698594808578491,,4.60595703125
4,,,,,1799,,,,1.8465564250946045,,4.504173755645752
4,,,,,1849,,,,1.9825778007507324,,4.575013637542725
4,,,,,1899,,,,1.89106023311615,,4.466497421264648
4,,,,,1949,,,,1.8627346754074097,,4.5264482498168945
4,0.3377000093460083,0.36419999599456787,0.8788000345230103,180.90435791015625,1949,,,,,,
4,,,,,1949,,,1.8977179527282715,,4.573487758636475,
5,,,,,1999,,,,1.884527564048767,,4.504166603088379
5,,,,,2049,,,,1.8319356441497803,,4.5193281173706055
5,,,,,2099,,,,1.8435804843902588,,4.535513877868652
5,,,,,2149,,,,1.9384479522705078,,4.41660213470459
5,,,,,2199,,,,1.7890782356262207,,4.477358818054199
5,,,,,2249,,,,1.8755172491073608,,4.500298023223877
5,,,,,2299,,,,1.8194078207015991,,4.475285530090332
5,0.36490002274513245,0.3928999900817871,0.8904000520706177,178.24496459960938,2339,,,,,,
5,,,,,2339,,,1.8311933279037476,,4.515779495239258,
6,,,,,2349,,,,1.8328797817230225,,4.487500190734863
6,,,,,2399,,,,1.7296751737594604,,4.431163311004639
6,,,,,2449,,,,1.822433590888977,,4.395284175872803
6,,,,,2499,,,,1.7483962774276733,,4.488011360168457
6,,,,,2549,,,,1.780268669128418,,4.435640335083008
6,,,,,2599,,,,1.6871302127838135,,4.39716911315918
6,,,,,2649,,,,1.7771611213684082,,4.534424304962158
6,,,,,2699,,,,1.7412012815475464,,4.378491401672363
6,0.35409998893737793,0.4050999879837036,0.8722000122070312,176.37799072265625,2729,,,,,,
6,,,,,2729,,,1.7491843700408936,,4.45995569229126,
7,,,,,2749,,,,1.8503199815750122,,4.384857177734375
7,,,,,2799,,,,1.6946243047714233,,4.442188739776611
7,,,,,2849,,,,1.7382811307907104,,4.45380973815918
7,,,,,2899,,,,1.747983455657959,,4.402425765991211
7,,,,,2949,,,,1.7216827869415283,,4.420889854431152
7,,,,,2999,,,,1.5270777940750122,,4.40242862701416
7,,,,,3049,,,,1.8271273374557495,,4.470776081085205
7,,,,,3099,,,,1.625253677368164,,4.366670608520508
7,0.3836999833583832,0.4193999767303467,0.8975000381469727,172.97230529785156,3119,,,,,,
7,,,,,3119,,,1.6588184833526611,,4.411942005157471,
8,,,,,3149,,,,1.6981546878814697,,4.443380355834961
8,,,,,3199,,,,1.6387475728988647,,4.4010162353515625
8,,,,,3249,,,,1.5546677112579346,,4.361909866333008
8,,,,,3299,,,,1.6288721561431885,,4.39027214050293
8,,,,,3349,,,,1.652713418006897,,4.415050029754639
8,,,,,3399,,,,1.4817084074020386,,4.33687686920166
8,,,,,3449,,,,1.5917530059814453,,4.416233539581299
8,,,,,3499,,,,1.528439998626709,,4.339483737945557
8,0.4092000126838684,0.47380000352859497,0.9251000881195068,169.6134490966797,3509,,,,,,
8,,,,,3509,,,1.592226505279541,,4.370361804962158,
9,,,,,3549,,,,1.5977585315704346,,4.356073379516602
