epoch,eval/knn_probe_accuracy,eval/linear_probe_top1,eval/linear_probe_top5,rankme,step,train/embedding_viz_loss_epoch,train/embedding_viz_loss_step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/loss_epoch,train/loss_step
0,,,,,49,,,,2.395028591156006,,5.480055809020996
0,,,,,99,,,,2.2760417461395264,,5.413163185119629
0,,,,,149,,,,2.3581299781799316,,5.319304466247559
0,,,,,199,,,,2.3463516235351562,,5.308352470397949
0,,,,,249,,,,2.3261044025421143,,5.2200517654418945
0,,,,,299,,,,2.2718605995178223,,5.235779762268066
0,,,,,349,,,,2.3042104244232178,,5.04478645324707
0,0.24619999527931213,0.15399998426437378,0.6585999727249146,227.44935607910156,389,,,,,,
0,,,,,389,,,2.334091901779175,,5.2814621925354,
1,,,,,399,,,,2.2718918323516846,,5.014665603637695
1,,,,,449,,,,2.277240037918091,,4.981898307800293
1,,,,,499,,,,2.231787919998169,,4.883472919464111
1,,,,,549,,,,2.212796449661255,,4.940922737121582
1,,,,,599,,,,2.1834397315979004,,4.839662551879883
1,,,,,649,,,,2.203808307647705,,4.808339595794678
1,,,,,699,,,,2.1073975563049316,,4.852212905883789
1,,,,,749,,,,2.1530303955078125,,4.931248664855957
1,0.2865999937057495,0.25839999318122864,0.8005000352859497,199.06597900390625,779,,,,,,
1,,,,,779,,,2.192187786102295,,4.903103828430176,
2,,,,,799,,,,2.106323003768921,,4.886733055114746
2,,,,,849,,,,2.1233601570129395,,4.73905086517334
2,,,,,899,,,,2.046398162841797,,4.886792182922363
2,,,,,949,,,,1.9841508865356445,,4.805417060852051
2,,,,,999,,,,2.0648133754730225,,4.7682600021362305
2,,,,,1049,,,,2.0854570865631104,,4.71915340423584
2,,,,,1099,,,,2.103710889816284,,4.75526762008667
2,,,,,1149,,,,1.918831467628479,,4.730604648590088
2,0.30559998750686646,0.29680001735687256,0.8444000482559204,193.82327270507812,1169,,,,,,
2,,,,,1169,,,2.0531787872314453,,4.748831272125244,
3,,,,,1199,,,,1.997654676437378,,4.742798328399658
3,,,,,1249,,,,1.888121485710144,,4.696956634521484
3,,,,,1299,,,,2.0189547538757324,,4.743043899536133
